账户ID,账户名称,公司名称,发证机关所在市,资质客户ID,管理员,订单行,聚屏平台合约消费20231113,聚屏平台合约消费20231114,手百开屏消费20231113,手百开屏消费20231114,软植互选消费20231113,软植互选消费20231114,度星选-软植互选-消费20231113,度星选-软植互选-消费20231114,度星选-软植互选-CPT消费20231113,度星选-软植互选-CPT消费20231114,度星选-软植互选-打包消费20231113,度星选-软植互选-打包消费20231114,度星选-内容生态营销包消费20231113,度星选-内容生态营销包消费20231114
48654601,山水智业,福建山水智业旅游发展有限公司,龙岩市,429654874,12t1022,0,0.00,0.00,0.00,0.00,0.00,0.00,1040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6948367,厦门德加尔,厦门德加尔服饰有限公司,厦门市,57298757,12t069,0,0.00,0.00,0.00,0.00,0.00,0.00,650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48990075,嗨玩购服饰,福建省嗨玩购服饰集团有限公司,泉州市,429663883,12t041,0,0.00,0.00,0.00,0.00,0.00,0.00,1300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6418974,中之青6,厦门市中之青国际旅行社有限公司,厦门市,53254539,12t086,0,0.00,0.00,0.00,0.00,0.00,0.00,1040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24735304,组团专线,中国国旅(厦门)国际旅行社有限公司岳阳门市部,厦门市,428104318,12t017,0,0.00,0.00,0.00,0.00,0.00,0.00,1040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28372052,亮亮服装,泉州惠安亮亮服装厂,泉州市,428992889,12t1017,0,0.00,0.00,0.00,0.00,0.00,0.00,1170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23365190,xm海峡国际,厦门海峡国际旅行社有限公司,厦门市,50607763,12t045,0,0.00,0.00,150000.00,0.00,0.00,0.00,780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36530020,瑞爱妮,漳州市芗城区瑞爱妮假发店,漳州市,429399160,12t099,0,0.00,0.00,0.00,0.00,0.00,0.00,780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7424866,快快网络,厦门快快网络科技有限公司,厦门市,200035639,12t00,0,0.00,0.00,150000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40607826,桃花源服装1,泉州市桃花源服装制品有限公司,泉州市,428306471,12t077,0,0.00,0.00,0.00,0.00,0.00,0.00,650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20912753,创艺社,厦门创艺社科技有限公司,厦门市,428344199,KOLXM02，xmk04,0,0.00,0.00,150000.00,0.00,0.00,0.00,650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
